price;host_since;neighbourhood_cleansed;city;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;cleaning_fee;guests_included;minimum_nights;maximum_nights;number_of_reviews;instant_bookable;calculated_host_listings_count;apartment;house;private_room;shared_room;strict_cancel;flexible_cancel;moderate_cancel
90.0;1882.0;0;1;4.0;1.0;1.0;1.0;1;13;0.0;1.0;1.0;1125.0;1.0;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
110.0;3273.0;1;1;2.0;1.0;1.0;1.0;1;12;0.0;1.0;2.0;30.0;105.76055258877258;1;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
60.0;2394.0;0;1;2.0;1.0;1.0;1.0;0;15;10.0;1.0;1.0;29.0;5.0;1;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
89.0;3212.0;1;1;3.0;1.0;1.0;2.0;1;11;35.0;2.0;3.0;30.0;13.0;1;5.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0
175.0;2722.0;1;1;3.0;1.0;1.0;2.0;1;12;0.0;2.0;2.0;15.0;105.76055258877258;1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
592.6665746719657;1917.0;1;1;9.29452931850152;3.0;3.7347608535457617;5.256614162315398;1;13;150.0;5.67211876497981;1.0;1125.0;0.0;1;8.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
55.0;2785.0;1;1;2.0;1.0;1.0;1.0;1;16;20.0;1.0;1.0;5.0;2.0;1;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
120.0;3179.0;1;1;3.0;1.0;1.0;1.0;1;15;0.0;1.0;4.0;50.0;16.0;1;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
75.0;2335.0;1;1;4.0;1.0;1.0;3.0;1;15;45.0;1.0;1.0;1125.0;1.0;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
300.0;1867.0;0;1;3.0;1.0;1.0;1.0;1;12;0.0;1.0;1.0;3.0;0.0;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
58.0;1863.0;1;1;2.0;1.0;1.0;1.0;1;18;15.0;1.0;1.0;1125.0;1.0;1;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
85.0;2543.0;1;1;2.0;1.0;1.0;1.0;1;11;30.0;1.0;3.0;100.0;18.0;1;2.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0
145.0;2940.0;1;1;4.0;1.0;2.0;2.0;1;16;0.0;1.0;3.0;1125.0;4.0;0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
249.0;4128.0;1;1;2.0;1.0;1.0;1.0;1;13;0.0;1.0;4.0;730.0;0.0;1;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
65.0;1908.0;0;1;4.0;2.0;2.0;2.0;1;14;0.0;1.0;1.0;1125.0;0.0;1;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
60.0;3028.0;1;1;1.0;1.0;1.0;1.0;1;11;10.0;1.0;13.99614170525171;1125.0;1.0;1;4.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0
105.0;2268.0;1;1;3.0;1.0;1.0;1.0;1;12;50.0;2.0;2.0;1125.0;35.0;1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
30.0;1874.0;1;1;2.0;1.0;1.0;1.0;1;12;30.0;1.0;2.0;28.0;0.0;1;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0
110.0;2804.0;1;1;2.0;1.0;1.0;1.0;1;11;60.0;1.0;2.0;1125.0;8.0;1;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
130.0;2652.0;1;1;2.0;1.0;1.0;1.0;1;15;0.0;1.0;1.0;1125.0;4.0;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
110.0;3225.0;1;1;2.0;1.0;0.0;1.0;1;15;0.0;1.0;1.0;1125.0;9.0;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
119.0;1911.0;1;1;4.0;1.0;1.0;2.0;1;14;75.0;4.0;1.0;1125.0;1.0;1;4.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
110.0;1886.0;1;1;1.0;1.0;1.0;1.0;1;15;0.0;1.0;1.0;1125.0;0.0;1;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0
95.0;2048.0;1;1;2.0;1.0;1.0;1.0;1;16;40.0;0.0;1.0;1125.0;13.0;0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
99.0;3018.0;1;1;2.0;1.5;1.0;1.0;1;12;0.0;2.0;2.0;365.0;80.0;1;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0
